Semester,GitHub Network URL
Fall 2017,https://github.com/iSchool-590PR-2017Fall/Final-project/network/members
Spring 2018,https://github.com/iSchool-590PR-2018Spring/Final_Project/network/members
Summer 2018,https://github.com/iSchool-590PR-2018-Summer/Final_Project
Fall 2018,https://github.com/iSchool-590PR-2018-Fall/Final-Project/network/members
Spring 2019,https://github.com/iSchool-590PR-2019-Spring/Final_Project/network/members
Fall 2019,https://github.com/ischool-590pr-2019-fall/final_projects/network/members
Spring 2020,https://github.com/iSchool-590pr/final_project_2020Sp/network/members
Summer 2020,https://github.com/iSchool-590pr/Final_Projects_Su2020/network/members
Fall 2020,https://github.com/iSchool-597PR/2020Fall_projects/network/members
Spring 2021,https://github.com/iSchool-597PR/2021_Spring_finals/network/members
Fall 2021,https://github.com/iSchool-597PR/2021Fall_finals/network/members
Spring 2022,https://github.com/iSchool-597PR/2022Spring_Finals/network/members
Fall 2022,https://github.com/iSchool-597PR/2022Fall_projects/network/members
Spring 2023,https://github.com/iSchool-597PR/2023Spr_projects/network/members
Fall 2023,https://github.com/iSchool-597PR/2023Fall_Projects/network/members
Spring 2024,https://github.com/iSchool-597PR/2024Spr_projects/network/members
Fall 2024,https://github.com/iSchool-597PR/2024Fall_projects/network/members
